SED_NAME16	DwellingStructure	InternetAccessedFromDwelling	occupied_private_dwellings
Dawesville (South West)	Flat/apartment	1	291
Dawesville (South West)	Semi-detached, row/terrace house, townhouse etc.		55
Dawesville (South West)	Semi-detached, row/terrace house, townhouse etc.	0	376
Dawesville (South West)	Semi-detached, row/terrace house, townhouse etc.	1	1115
Dawesville (South West)	Separate house		267
Dawesville (South West)	Separate house	0	1385
Dawesville (South West)	Separate house	1	11352
Eyre (Mining and Pastoral)			33
Eyre (Mining and Pastoral)		0	24
Eyre (Mining and Pastoral)		1	99
Eyre (Mining and Pastoral)	(Other)		32
Eyre (Mining and Pastoral)	(Other)	0	75
Eyre (Mining and Pastoral)	(Other)	1	187
Eyre (Mining and Pastoral)	Flat/apartment		13
Eyre (Mining and Pastoral)	Flat/apartment	0	105
Eyre (Mining and Pastoral)	Flat/apartment	1	184
Eyre (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.		97
Eyre (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	0	550
Eyre (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	1	1407
Eyre (Mining and Pastoral)	Separate house		349
Eyre (Mining and Pastoral)	Separate house	0	2127
Eyre (Mining and Pastoral)	Separate house	1	12101
Forrestfield (East Metropolitan)		0	3
Forrestfield (East Metropolitan)		1	28
Forrestfield (East Metropolitan)	(Other)		14
Forrestfield (East Metropolitan)	(Other)	0	60
Forrestfield (East Metropolitan)	(Other)	1	146
Forrestfield (East Metropolitan)	Flat/apartment		3
Forrestfield (East Metropolitan)	Flat/apartment	0	6
Forrestfield (East Metropolitan)	Flat/apartment	1	32
Forrestfield (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		28
Forrestfield (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	296
Forrestfield (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	686
Forrestfield (East Metropolitan)	Separate house		289
Forrestfield (East Metropolitan)	Separate house	0	1439
Forrestfield (East Metropolitan)	Separate house	1	12050
Fremantle (South Metropolitan)			89
Fremantle (South Metropolitan)		0	4
Fremantle (South Metropolitan)		1	57
Fremantle (South Metropolitan)	(Other)		8
Fremantle (South Metropolitan)	(Other)	0	36
Fremantle (South Metropolitan)	(Other)	1	93
Fremantle (South Metropolitan)	Flat/apartment		72
Fremantle (South Metropolitan)	Flat/apartment	0	380
Fremantle (South Metropolitan)	Flat/apartment	1	1383
Fremantle (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		117
Fremantle (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	708
Fremantle (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	3601
Fremantle (South Metropolitan)	Separate house		201
Fremantle (South Metropolitan)	Separate house	0	1059
Fremantle (South Metropolitan)	Separate house	1	8290
Geraldton (Agricultural)			12
Geraldton (Agricultural)		0	11
Geraldton (Agricultural)		1	28
Geraldton (Agricultural)	(Other)		19
Geraldton (Agricultural)	(Other)	0	84
Geraldton (Agricultural)	(Other)	1	172
Geraldton (Agricultural)	Flat/apartment		25
Geraldton (Agricultural)	Flat/apartment	0	100
Geraldton (Agricultural)	Flat/apartment	1	134
Geraldton (Agricultural)	Semi-detached, row/terrace house, townhouse etc.		50
Geraldton (Agricultural)	Semi-detached, row/terrace house, townhouse etc.	0	496
Geraldton (Agricultural)	Semi-detached, row/terrace house, townhouse etc.	1	877
Geraldton (Agricultural)	Separate house		277
Geraldton (Agricultural)	Separate house	0	1704
Geraldton (Agricultural)	Separate house	1	9544
Girrawheen (North Metropolitan)		1	15
Girrawheen (North Metropolitan)	(Other)		3
Girrawheen (North Metropolitan)	(Other)	0	14
Girrawheen (North Metropolitan)	(Other)	1	11
Girrawheen (North Metropolitan)	Flat/apartment	0	3
Girrawheen (North Metropolitan)	Flat/apartment	1	5
Girrawheen (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		63
Girrawheen (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	448
Girrawheen (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	1535
Girrawheen (North Metropolitan)	Separate house		247
Girrawheen (North Metropolitan)	Separate house	0	1120
Girrawheen (North Metropolitan)	Separate house	1	12066
Gosnells (East Metropolitan)			3
Gosnells (East Metropolitan)		0	3
Gosnells (East Metropolitan)		1	24
Gosnells (East Metropolitan)	(Other)	1	4
Gosnells (East Metropolitan)	Flat/apartment		5
Gosnells (East Metropolitan)	Flat/apartment	0	42
Gosnells (East Metropolitan)	Flat/apartment	1	121
Gosnells (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		78
Gosnells (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	439
Gosnells (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	1139
Gosnells (East Metropolitan)	Separate house		278
Gosnells (East Metropolitan)	Separate house	0	1629
Gosnells (East Metropolitan)	Separate house	1	10865
Hillarys (North Metropolitan)			5
Hillarys (North Metropolitan)		1	13
Hillarys (North Metropolitan)	(Other)	1	4
Hillarys (North Metropolitan)	Flat/apartment		19
Hillarys (North Metropolitan)	Flat/apartment	0	97
Hillarys (North Metropolitan)	Flat/apartment	1	162
Hillarys (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		29
Hillarys (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	191
Hillarys (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	972
Hillarys (North Metropolitan)	Separate house		149
Hillarys (North Metropolitan)	Separate house	0	569
Hillarys (North Metropolitan)	Separate house	1	9705
Jandakot (South Metropolitan)			5
Jandakot (South Metropolitan)		0	4
Jandakot (South Metropolitan)		1	10
Jandakot (South Metropolitan)	(Other)	1	5
Jandakot (South Metropolitan)	Flat/apartment	0	3
Jandakot (South Metropolitan)	Flat/apartment	1	4
Jandakot (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		27
Jandakot (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	233
Jandakot (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	795
Jandakot (South Metropolitan)	Separate house		173
Jandakot (South Metropolitan)	Separate house	0	708
Jandakot (South Metropolitan)	Separate house	1	11478
Joondalup (North Metropolitan)			5
Joondalup (North Metropolitan)		0	3
Joondalup (North Metropolitan)		1	18
Joondalup (North Metropolitan)	(Other)		3
Joondalup (North Metropolitan)	(Other)	1	12
Joondalup (North Metropolitan)	Flat/apartment		23
Joondalup (North Metropolitan)	Flat/apartment	0	90
Joondalup (North Metropolitan)	Flat/apartment	1	574
Joondalup (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		47
Joondalup (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	244
Joondalup (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	1258
Joondalup (North Metropolitan)	Separate house		187
Joondalup (North Metropolitan)	Separate house	0	751
Joondalup (North Metropolitan)	Separate house	1	10124
Kalamunda (East Metropolitan)			19
Kalamunda (East Metropolitan)		0	6
Kalamunda (East Metropolitan)		1	23
Kalamunda (East Metropolitan)	(Other)	0	18
Kalamunda (East Metropolitan)	(Other)	1	48
Kalamunda (East Metropolitan)	Flat/apartment		4
Kalamunda (East Metropolitan)	Flat/apartment	0	36
Kalamunda (East Metropolitan)	Flat/apartment	1	114
Kalamunda (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		26
Kalamunda (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	186
Kalamunda (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	402
Kalamunda (East Metropolitan)	Separate house		208
Kalamunda (East Metropolitan)	Separate house	0	1140
Kalamunda (East Metropolitan)	Separate house	1	10320
Kalgoorlie (Mining and Pastoral)			5
Kalgoorlie (Mining and Pastoral)		0	10
Kalgoorlie (Mining and Pastoral)		1	12
Kalgoorlie (Mining and Pastoral)	(Other)		5
Kalgoorlie (Mining and Pastoral)	(Other)	0	21
Kalgoorlie (Mining and Pastoral)	(Other)	1	25
Kalgoorlie (Mining and Pastoral)	Flat/apartment	1	10
Kalgoorlie (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.		3
Kalgoorlie (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	0	12
Kalgoorlie (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	1	19
Kalgoorlie (Mining and Pastoral)	Separate house		64
Kalgoorlie (Mining and Pastoral)	Separate house	0	292
Kalgoorlie (Mining and Pastoral)	Separate house	1	453
Kimberley (Mining and Pastoral)			16
Kimberley (Mining and Pastoral)		0	55
Kimberley (Mining and Pastoral)		1	105
Kimberley (Mining and Pastoral)	(Other)		101
Kimberley (Mining and Pastoral)	(Other)	0	232
Kimberley (Mining and Pastoral)	(Other)	1	579
Kimberley (Mining and Pastoral)	Flat/apartment		32
Kimberley (Mining and Pastoral)	Flat/apartment	0	126
Kimberley (Mining and Pastoral)	Flat/apartment	1	346
Kimberley (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.		58
Kimberley (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	0	276
Kimberley (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	1	557
Kimberley (Mining and Pastoral)	Separate house		292
Kimberley (Mining and Pastoral)	Separate house	0	1813
Kimberley (Mining and Pastoral)	Separate house	1	5446
Kingsley (North Metropolitan)		1	3
Kingsley (North Metropolitan)	(Other)		3
Kingsley (North Metropolitan)	(Other)	0	37
Kingsley (North Metropolitan)	(Other)	1	48
Kingsley (North Metropolitan)	Flat/apartment		7
Kingsley (North Metropolitan)	Flat/apartment	0	21
Kingsley (North Metropolitan)	Flat/apartment	1	53
Kingsley (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		21
Kingsley (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	214
Kingsley (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	775
Kingsley (North Metropolitan)	Separate house		137
Kingsley (North Metropolitan)	Separate house	0	686
Kingsley (North Metropolitan)	Separate house	1	9998
Kwinana (South Metropolitan)			10
Kwinana (South Metropolitan)		0	10
Kwinana (South Metropolitan)		1	47
Kwinana (South Metropolitan)	(Other)		7
Kwinana (South Metropolitan)	(Other)	0	22
Kwinana (South Metropolitan)	(Other)	1	86
Kwinana (South Metropolitan)	Flat/apartment		12
Kwinana (South Metropolitan)	Flat/apartment	0	141
Kwinana (South Metropolitan)	Flat/apartment	1	311
Kwinana (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		40
Kwinana (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	267
Kwinana (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	792
Kwinana (South Metropolitan)	Separate house		406
Kwinana (South Metropolitan)	Separate house	0	1979
Kwinana (South Metropolitan)	Separate house	1	17298
Mandurah (South West)			3
Mandurah (South West)		0	8
Mandurah (South West)		1	20
Mandurah (South West)	(Other)		17
Mandurah (South West)	(Other)	0	70
Mandurah (South West)	(Other)	1	81
Mandurah (South West)	Flat/apartment		31
Mandurah (South West)	Flat/apartment	0	198
Mandurah (South West)	Flat/apartment	1	571
Mandurah (South West)	Semi-detached, row/terrace house, townhouse etc.		117
Mandurah (South West)	Semi-detached, row/terrace house, townhouse etc.	0	776
Mandurah (South West)	Semi-detached, row/terrace house, townhouse etc.	1	1756
Mandurah (South West)	Separate house		277
Mandurah (South West)	Separate house	0	1674
Mandurah (South West)	Separate house	1	10428
Maylands (East Metropolitan)			3
Maylands (East Metropolitan)		0	6
Maylands (East Metropolitan)		1	35
Maylands (East Metropolitan)	(Other)	0	3
Maylands (East Metropolitan)	(Other)	1	6
Maylands (East Metropolitan)	Flat/apartment		69
Maylands (East Metropolitan)	Flat/apartment	0	508
Maylands (East Metropolitan)	Flat/apartment	1	1921
Maylands (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		101
Maylands (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	685
Maylands (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	2982
Maylands (East Metropolitan)	Separate house		207
Maylands (East Metropolitan)	Separate house	0	1058
Maylands (East Metropolitan)	Separate house	1	8940
Midland (East Metropolitan)			3
Midland (East Metropolitan)		0	8
Midland (East Metropolitan)		1	25
Midland (East Metropolitan)	(Other)		13
Midland (East Metropolitan)	(Other)	0	29
Midland (East Metropolitan)	(Other)	1	96
Midland (East Metropolitan)	Flat/apartment		14
Midland (East Metropolitan)	Flat/apartment	0	79
Midland (East Metropolitan)	Flat/apartment	1	227
Midland (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		88
Midland (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	617
Midland (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	1742
Midland (East Metropolitan)	Separate house		260
Midland (East Metropolitan)	Separate house	0	1622
Midland (East Metropolitan)	Separate house	1	10051
Mirrabooka (East Metropolitan)		0	7
Mirrabooka (East Metropolitan)		1	21
Mirrabooka (East Metropolitan)	Flat/apartment		8
Mirrabooka (East Metropolitan)	Flat/apartment	0	71
Mirrabooka (East Metropolitan)	Flat/apartment	1	125
Mirrabooka (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		198
Mirrabooka (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	977
Mirrabooka (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	3357
Mirrabooka (East Metropolitan)	Separate house		270
Mirrabooka (East Metropolitan)	Separate house	0	1516
Mirrabooka (East Metropolitan)	Separate house	1	8801
Moore (Agricultural)			29
Moore (Agricultural)		0	16
Moore (Agricultural)		1	90
Moore (Agricultural)	(Other)		29
Moore (Agricultural)	(Other)	0	109
Moore (Agricultural)	(Other)	1	220
Moore (Agricultural)	Flat/apartment		13
Moore (Agricultural)	Flat/apartment	0	64
Moore (Agricultural)	Flat/apartment	1	77
Moore (Agricultural)	Semi-detached, row/terrace house, townhouse etc.		13
Moore (Agricultural)	Semi-detached, row/terrace house, townhouse etc.	0	94
Moore (Agricultural)	Semi-detached, row/terrace house, townhouse etc.	1	127
Moore (Agricultural)	Separate house		332
Moore (Agricultural)	Separate house	0	2090
Moore (Agricultural)	Separate house	1	9856
Morley (East Metropolitan)			3
Morley (East Metropolitan)		0	7
Morley (East Metropolitan)		1	37
Morley (East Metropolitan)	(Other)	0	3
Morley (East Metropolitan)	(Other)	1	4
Morley (East Metropolitan)	Flat/apartment		11
Morley (East Metropolitan)	Flat/apartment	0	63
Morley (East Metropolitan)	Flat/apartment	1	79
Morley (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		112
Morley (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	646
Morley (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	3607
Morley (East Metropolitan)	Separate house		236
Morley (East Metropolitan)	Separate house	0	1364
Morley (East Metropolitan)	Separate house	1	8256
Mount Lawley (East Metropolitan)			3
Mount Lawley (East Metropolitan)		0	5
Mount Lawley (East Metropolitan)		1	29
Mount Lawley (East Metropolitan)	(Other)		3
Mount Lawley (East Metropolitan)	(Other)	1	9
Mount Lawley (East Metropolitan)	Flat/apartment		81
Mount Lawley (East Metropolitan)	Flat/apartment	0	472
Mount Lawley (East Metropolitan)	Flat/apartment	1	1683
Mount Lawley (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		128
Mount Lawley (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	754
Mount Lawley (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	4327
Mount Lawley (East Metropolitan)	Separate house		164
Mount Lawley (East Metropolitan)	Separate house	0	887
Mount Lawley (East Metropolitan)	Separate house	1	7151
Murray-Wellington (South West)			17
Murray-Wellington (South West)		0	5
Murray-Wellington (South West)		1	51
Murray-Wellington (South West)	(Other)		20
Murray-Wellington (South West)	(Other)	0	71
Murray-Wellington (South West)	(Other)	1	113
Murray-Wellington (South West)	Flat/apartment		8
Murray-Wellington (South West)	Flat/apartment	0	51
Murray-Wellington (South West)	Flat/apartment	1	34
Murray-Wellington (South West)	Semi-detached, row/terrace house, townhouse etc.		23
Murray-Wellington (South West)	Semi-detached, row/terrace house, townhouse etc.	0	170
Murray-Wellington (South West)	Semi-detached, row/terrace house, townhouse etc.	1	271
Murray-Wellington (South West)	Separate house		282
Murray-Wellington (South West)	Separate house	0	1756
Murray-Wellington (South West)	Separate house	1	11280
Nedlands (North Metropolitan)			3
Nedlands (North Metropolitan)		1	22
Nedlands (North Metropolitan)	(Other)	1	8
Nedlands (North Metropolitan)	Flat/apartment		95
Nedlands (North Metropolitan)	Flat/apartment	0	578
Nedlands (North Metropolitan)	Flat/apartment	1	3183
Nedlands (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		44
Nedlands (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	240
Nedlands (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	2408
Nedlands (North Metropolitan)	Separate house		133
Nedlands (North Metropolitan)	Separate house	0	370
Nedlands (North Metropolitan)	Separate house	1	7775
North West Central (Mining and Pastoral)			29
North West Central (Mining and Pastoral)		0	16
North West Central (Mining and Pastoral)		1	54
North West Central (Mining and Pastoral)	(Other)		46
North West Central (Mining and Pastoral)	(Other)	0	134
North West Central (Mining and Pastoral)	(Other)	1	279
North West Central (Mining and Pastoral)	Flat/apartment	0	37
North West Central (Mining and Pastoral)	Flat/apartment	1	106
North West Central (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.		44
North West Central (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	0	102
North West Central (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	1	220
North West Central (Mining and Pastoral)	Separate house		185
North West Central (Mining and Pastoral)	Separate house	0	822
North West Central (Mining and Pastoral)	Separate house	1	3753
Ocean Reef (North Metropolitan)			3
Ocean Reef (North Metropolitan)		1	13
Ocean Reef (North Metropolitan)	(Other)		4
Ocean Reef (North Metropolitan)	(Other)	0	24
Ocean Reef (North Metropolitan)	(Other)	1	32
Ocean Reef (North Metropolitan)	Flat/apartment		5
Ocean Reef (North Metropolitan)	Flat/apartment	0	33
Ocean Reef (North Metropolitan)	Flat/apartment	1	179
Ocean Reef (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		22
Ocean Reef (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	113
Ocean Reef (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	746
Ocean Reef (North Metropolitan)	Separate house		164
Ocean Reef (North Metropolitan)	Separate house	0	488
Ocean Reef (North Metropolitan)	Separate house	1	11896
Perth (North Metropolitan)			15
Perth (North Metropolitan)		0	17
Perth (North Metropolitan)		1	77
Perth (North Metropolitan)	(Other)		17
Perth (North Metropolitan)	(Other)	0	9
Perth (North Metropolitan)	(Other)	1	62
Perth (North Metropolitan)	Flat/apartment		264
Perth (North Metropolitan)	Flat/apartment	0	1181
Perth (North Metropolitan)	Flat/apartment	1	9984
Perth (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		65
Perth (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	291
Perth (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	2901
Perth (North Metropolitan)	Separate house		165
Perth (North Metropolitan)	Separate house	0	725
Perth (North Metropolitan)	Separate house	1	5865
Pilbara (Mining and Pastoral)			18
Pilbara (Mining and Pastoral)		0	19
Pilbara (Mining and Pastoral)		1	54
Pilbara (Mining and Pastoral)	(Other)		29
Pilbara (Mining and Pastoral)	(Other)	0	48
Pilbara (Mining and Pastoral)	(Other)	1	156
Pilbara (Mining and Pastoral)	Flat/apartment		27
Pilbara (Mining and Pastoral)	Flat/apartment	0	129
Pilbara (Mining and Pastoral)	Flat/apartment	1	580
Pilbara (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.		38
Pilbara (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	0	271
Pilbara (Mining and Pastoral)	Semi-detached, row/terrace house, townhouse etc.	1	803
Pilbara (Mining and Pastoral)	Separate house		270
Pilbara (Mining and Pastoral)	Separate house	0	1146
Pilbara (Mining and Pastoral)	Separate house	1	8396
Riverton (South Metropolitan)		1	8
Riverton (South Metropolitan)	(Other)	1	3
Riverton (South Metropolitan)	Flat/apartment		7
Riverton (South Metropolitan)	Flat/apartment	0	69
Riverton (South Metropolitan)	Flat/apartment	1	377
Riverton (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		35
Riverton (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	253
Riverton (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	1019
Riverton (South Metropolitan)	Separate house		170
Riverton (South Metropolitan)	Separate house	0	743
Riverton (South Metropolitan)	Separate house	1	10151
Rockingham (South Metropolitan)			3
Rockingham (South Metropolitan)		1	6
Rockingham (South Metropolitan)	(Other)		4
Rockingham (South Metropolitan)	(Other)	0	56
Rockingham (South Metropolitan)	(Other)	1	76
Rockingham (South Metropolitan)	Flat/apartment		39
Rockingham (South Metropolitan)	Flat/apartment	0	289
Rockingham (South Metropolitan)	Flat/apartment	1	586
Rockingham (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		82
Rockingham (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	551
Rockingham (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	970
Rockingham (South Metropolitan)	Separate house		288
Rockingham (South Metropolitan)	Separate house	0	1707
Rockingham (South Metropolitan)	Separate house	1	9996
Scarborough (North Metropolitan)		0	5
Scarborough (North Metropolitan)		1	27
Scarborough (North Metropolitan)	Flat/apartment		36
Scarborough (North Metropolitan)	Flat/apartment	0	239
Scarborough (North Metropolitan)	Flat/apartment	1	905
Scarborough (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		183
Scarborough (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	813
Scarborough (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	5838
Scarborough (North Metropolitan)	Separate house		176
Scarborough (North Metropolitan)	Separate house	0	746
Scarborough (North Metropolitan)	Separate house	1	7323
South Perth (South Metropolitan)			3
South Perth (South Metropolitan)		0	13
South Perth (South Metropolitan)		1	45
South Perth (South Metropolitan)	(Other)	1	4
South Perth (South Metropolitan)	Flat/apartment		58
South Perth (South Metropolitan)	Flat/apartment	0	250
South Perth (South Metropolitan)	Flat/apartment	1	1607
South Perth (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		114
South Perth (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	559
South Perth (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	4993
South Perth (South Metropolitan)	Separate house		148
South Perth (South Metropolitan)	Separate house	0	573
South Perth (South Metropolitan)	Separate house	1	6791
Southern River (South Metropolitan)		1	12
Southern River (South Metropolitan)	(Other)	1	4
Southern River (South Metropolitan)	Flat/apartment	0	9
Southern River (South Metropolitan)	Flat/apartment	1	66
Southern River (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		26
Southern River (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	91
Southern River (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	955
Southern River (South Metropolitan)	Separate house		226
Southern River (South Metropolitan)	Separate house	0	713
Southern River (South Metropolitan)	Separate house	1	13588
Swan Hills (East Metropolitan)			13
Swan Hills (East Metropolitan)		0	3
Swan Hills (East Metropolitan)		1	43
Swan Hills (East Metropolitan)	(Other)		5
Swan Hills (East Metropolitan)	(Other)	0	17
Swan Hills (East Metropolitan)	(Other)	1	37
Swan Hills (East Metropolitan)	Flat/apartment		4
Swan Hills (East Metropolitan)	Flat/apartment	1	10
Swan Hills (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		17
Swan Hills (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	110
Swan Hills (East Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	596
Swan Hills (East Metropolitan)	Separate house		225
Swan Hills (East Metropolitan)	Separate house	0	1079
Swan Hills (East Metropolitan)	Separate house	1	13238
Vasse (South West)			11
Vasse (South West)		0	6
Vasse (South West)		1	47
Vasse (South West)	(Other)		31
Vasse (South West)	(Other)	0	131
Vasse (South West)	(Other)	1	300
Vasse (South West)	Flat/apartment		4
Vasse (South West)	Flat/apartment	0	16
Vasse (South West)	Flat/apartment	1	19
Vasse (South West)	Semi-detached, row/terrace house, townhouse etc.		54
Vasse (South West)	Semi-detached, row/terrace house, townhouse etc.	0	358
Vasse (South West)	Semi-detached, row/terrace house, townhouse etc.	1	717
Vasse (South West)	Separate house		236
Vasse (South West)	Separate house	0	1337
Vasse (South West)	Separate house	1	10690
Victoria Park (South Metropolitan)			13
Victoria Park (South Metropolitan)		0	8
Victoria Park (South Metropolitan)		1	54
Victoria Park (South Metropolitan)	(Other)	0	7
Victoria Park (South Metropolitan)	(Other)	1	9
Victoria Park (South Metropolitan)	Flat/apartment		115
Victoria Park (South Metropolitan)	Flat/apartment	0	568
Victoria Park (South Metropolitan)	Flat/apartment	1	2467
Victoria Park (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		205
Victoria Park (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	802
Victoria Park (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	4469
Victoria Park (South Metropolitan)	Separate house		226
Victoria Park (South Metropolitan)	Separate house	0	1000
Victoria Park (South Metropolitan)	Separate house	1	8316
Wagin (Agricultural)			9
Wagin (Agricultural)		0	23
Wagin (Agricultural)		1	72
Wagin (Agricultural)	(Other)		9
Wagin (Agricultural)	(Other)	0	74
Wagin (Agricultural)	(Other)	1	78
Wagin (Agricultural)	Flat/apartment		7
Wagin (Agricultural)	Flat/apartment	0	50
Wagin (Agricultural)	Flat/apartment	1	47
Wagin (Agricultural)	Semi-detached, row/terrace house, townhouse etc.		28
Wagin (Agricultural)	Semi-detached, row/terrace house, townhouse etc.	0	155
Wagin (Agricultural)	Semi-detached, row/terrace house, townhouse etc.	1	178
Wagin (Agricultural)	Separate house		308
Wagin (Agricultural)	Separate house	0	2340
Wagin (Agricultural)	Separate house	1	8637
Wanneroo (North Metropolitan)		1	6
Wanneroo (North Metropolitan)	(Other)		11
Wanneroo (North Metropolitan)	(Other)	0	46
Wanneroo (North Metropolitan)	(Other)	1	61
Wanneroo (North Metropolitan)	Flat/apartment	0	3
Wanneroo (North Metropolitan)	Flat/apartment	1	4
Wanneroo (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		39
Wanneroo (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	242
Wanneroo (North Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	1011
Wanneroo (North Metropolitan)	Separate house		227
Wanneroo (North Metropolitan)	Separate house	0	1056
Wanneroo (North Metropolitan)	Separate house	1	12726
Warnbro (South Metropolitan)			3
Warnbro (South Metropolitan)		0	5
Warnbro (South Metropolitan)		1	16
Warnbro (South Metropolitan)	(Other)	1	9
Warnbro (South Metropolitan)	Flat/apartment	0	4
Warnbro (South Metropolitan)	Flat/apartment	1	3
Warnbro (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		28
Warnbro (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	176
Warnbro (South Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	582
Warnbro (South Metropolitan)	Separate house		328
Warnbro (South Metropolitan)	Separate house	0	1214
Warnbro (South Metropolitan)	Separate house	1	16903
