LGA_NAME16	FamilyComposition	families_with_children
Flinders (S) (Qld)	Intact family with no other children present	133
Flinders (S) (Qld)	Intact family with other children present	3
Fraser Coast (R)	Blended family with no other children present	528
Fraser Coast (R)	Blended family with other children present	11
Fraser Coast (R)	Intact family with no other children present	6987
Fraser Coast (R)	Intact family with other children present	104
Fraser Coast (R)	Other couple family with other children only	69
Fraser Coast (R)	Step family with no other children present	820
Fraser Coast (R)	Step family with other children present	25
Gladstone (R)	Blended family with no other children present	427
Gladstone (R)	Blended family with other children present	3
Gladstone (R)	Intact family with no other children present	6239
Gladstone (R)	Intact family with other children present	75
Gladstone (R)	Other couple family with other children only	44
Gladstone (R)	Step family with no other children present	544
Gladstone (R)	Step family with other children present	3
Gold Coast (C)	Blended family with no other children present	2763
Gold Coast (C)	Blended family with other children present	40
Gold Coast (C)	Intact family with no other children present	52071
Gold Coast (C)	Intact family with other children present	630
Gold Coast (C)	Other couple family with other children only	244
Gold Coast (C)	Step family with no other children present	5047
Gold Coast (C)	Step family with other children present	107
Goondiwindi (R)	Blended family with no other children present	49
Goondiwindi (R)	Intact family with no other children present	953
Goondiwindi (R)	Intact family with other children present	9
Goondiwindi (R)	Other couple family with other children only	9
Goondiwindi (R)	Step family with no other children present	53
Gympie (R)	Blended family with no other children present	321
Gympie (R)	Blended family with other children present	3
Gympie (R)	Intact family with no other children present	3710
Gympie (R)	Intact family with other children present	50
Gympie (R)	Other couple family with other children only	35
Gympie (R)	Step family with no other children present	376
Gympie (R)	Step family with other children present	17
Hinchinbrook (S)	Blended family with no other children present	34
Hinchinbrook (S)	Intact family with no other children present	944
Hinchinbrook (S)	Intact family with other children present	10
Hinchinbrook (S)	Other couple family with other children only	9
Hinchinbrook (S)	Step family with no other children present	62
Hope Vale (S)	Intact family with no other children present	69
Hope Vale (S)	Intact family with other children present	7
Hope Vale (S)	Other couple family with other children only	3
Hope Vale (S)	Step family with no other children present	5
Ipswich (C)	Blended family with no other children present	1507
Ipswich (C)	Blended family with other children present	42
Ipswich (C)	Intact family with no other children present	18777
Ipswich (C)	Intact family with other children present	387
Ipswich (C)	Other couple family with other children only	147
Ipswich (C)	Step family with no other children present	1962
Ipswich (C)	Step family with other children present	45
Isaac (R)	Blended family with no other children present	132
Isaac (R)	Intact family with no other children present	2178
Isaac (R)	Intact family with other children present	13
Isaac (R)	Other couple family with other children only	9
Isaac (R)	Step family with no other children present	144
Isaac (R)	Step family with other children present	3
Kowanyama (S)	Blended family with no other children present	4
Kowanyama (S)	Intact family with no other children present	49
Kowanyama (S)	Intact family with other children present	11
Kowanyama (S)	Other couple family with other children only	5
Kowanyama (S)	Step family with no other children present	8
Livingstone (S)	Blended family with no other children present	184
Livingstone (S)	Blended family with other children present	3
Livingstone (S)	Intact family with no other children present	3326
Livingstone (S)	Intact family with other children present	42
