SA3_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Auburn	0	4	271
Auburn	0	5	214
Auburn	0	6	278
Auburn	1	2	5947
Auburn	1	3	4619
Auburn	1	4	4593
Auburn	1	5	2400
Auburn	1	6	2243
Carlingford	0	1	4015
Carlingford	0	2	421
Carlingford	0	3	113
Carlingford	0	4	40
Carlingford	0	5	13
Carlingford	1	2	5434
Carlingford	1	3	4161
Carlingford	1	4	4570
Carlingford	1	5	1981
Carlingford	1	6	1049
Merrylands - Guildford	0	1	8976
Merrylands - Guildford	0	2	897
Merrylands - Guildford	0	3	271
Merrylands - Guildford	0	4	190
Merrylands - Guildford	0	5	90
Merrylands - Guildford	0	6	106
Merrylands - Guildford	1	2	10081
Merrylands - Guildford	1	3	7597
Merrylands - Guildford	1	4	7871
Merrylands - Guildford	1	5	4811
Merrylands - Guildford	1	6	4497
Parramatta	0	1	10038
Parramatta	0	2	1395
Parramatta	0	3	472
Parramatta	0	4	240
Parramatta	0	5	109
Parramatta	0	6	99
Parramatta	1	2	11892
Parramatta	1	3	9690
Parramatta	1	4	8629
Parramatta	1	5	3136
Parramatta	1	6	1733
Pennant Hills - Epping	0	1	2434
Pennant Hills - Epping	0	2	309
Pennant Hills - Epping	0	3	150
Pennant Hills - Epping	0	4	81
Pennant Hills - Epping	0	5	27
Pennant Hills - Epping	0	6	18
Pennant Hills - Epping	1	2	4020
Pennant Hills - Epping	1	3	2863
Pennant Hills - Epping	1	4	3553
Pennant Hills - Epping	1	5	1403
Pennant Hills - Epping	1	6	667
Ryde - Hunters Hill	0	1	10926
Ryde - Hunters Hill	0	2	1512
Ryde - Hunters Hill	0	3	527
Ryde - Hunters Hill	0	4	222
Ryde - Hunters Hill	0	5	127
Ryde - Hunters Hill	0	6	99
Ryde - Hunters Hill	1	2	12918
