SA4_NAME16	CountryOfBirth	Sex	persons
Murray	GBR	M	1299
Murray	GRC	F	32
Murray	GRC	M	48
Murray	HKG	F	30
Murray	HKG	M	25
Murray	HRV	F	36
Murray	HRV	M	29
Murray	IDN	F	20
Murray	IDN	M	3
Murray	IND	F	348
Murray	IND	M	360
Murray	IRL	F	65
Murray	IRL	M	73
Murray	IRN	F	11
Murray	IRN	M	15
Murray	IRQ	F	3
Murray	IRQ	M	8
Murray	ITA	F	118
Murray	ITA	M	142
Murray	JPN	F	25
Murray	JPN	M	9
Murray	KHM	F	3
Murray	KHM	M	3
Murray	KOR	F	34
Murray	KOR	M	32
Murray	LBN	F	4
Murray	LBN	M	12
Murray	LKA	F	81
Murray	LKA	M	75
Murray	MKD	M	3
Murray	MLT	F	18
Murray	MLT	M	26
Murray	MMR	F	4
Murray	MMR	M	8
Murray	MUS	F	9
Murray	MUS	M	9
Murray	MYS	F	61
Murray	MYS	M	46
Murray	NLD	F	195
Murray	NLD	M	202
Murray	NPL	F	108
Murray	NPL	M	120
Murray	NZL	F	532
Murray	NZL	M	588
Murray	PAK	F	22
Murray	PAK	M	25
Murray	PHL	F	339
Murray	PHL	M	155
Murray	PNG	F	22
Murray	PNG	M	23
Murray	POL	F	27
Murray	POL	M	20
Murray	SGP	F	24
Murray	SGP	M	18
Murray	THA	F	92
Murray	THA	M	22
Murray	TUR	F	3
Murray	TUR	M	12
Murray	TWN	F	33
Murray	TWN	M	37
Murray	USA	F	93
Murray	USA	M	79
Murray	VNM	F	29
Murray	VNM	M	20
Murray	ZAF	F	118
Murray	ZAF	M	112
Murray	ZWE	F	24
Murray	ZWE	M	21
New England and North West		F	9819
New England and North West		M	9406
New England and North West	AFG	F	3
New England and North West	AFG	M	7
New England and North West	AUS	F	76603
New England and North West	AUS	M	74300
New England and North West	BGD	F	47
New England and North West	BGD	M	59
New England and North West	BIH	M	6
New England and North West	CAN	F	96
New England and North West	CAN	M	69
New England and North West	CHL	F	12
New England and North West	CHL	M	8
New England and North West	CHN	F	256
New England and North West	CHN	M	259
New England and North West	DEU	F	223
New England and North West	DEU	M	180
New England and North West	EGY	F	14
New England and North West	EGY	M	13
New England and North West	FJI	F	86
New England and North West	FJI	M	76
New England and North West	FRA	F	40
New England and North West	FRA	M	35
New England and North West	GBR	F	1566
New England and North West	GBR	M	1536
New England and North West	GRC	F	20
New England and North West	GRC	M	20
New England and North West	HKG	F	46
New England and North West	HKG	M	33
New England and North West	HRV	F	15
New England and North West	HRV	M	20
New England and North West	IDN	F	51
New England and North West	IDN	M	30
