SA2_NAME16	FamilyComposition	families_with_children
Galston - Laughtondale	Other couple family with other children only	3
Galston - Laughtondale	Step family with no other children present	42
Bilpin - Colo - St Albans	Blended family with no other children present	16
Bilpin - Colo - St Albans	Intact family with no other children present	238
Bilpin - Colo - St Albans	Intact family with other children present	3
Bilpin - Colo - St Albans	Other couple family with other children only	3
Bilpin - Colo - St Albans	Step family with no other children present	18
Kurrajong Heights - Ebenezer	Blended family with no other children present	150
Kurrajong Heights - Ebenezer	Intact family with no other children present	2746
Kurrajong Heights - Ebenezer	Intact family with other children present	46
Kurrajong Heights - Ebenezer	Other couple family with other children only	17
Kurrajong Heights - Ebenezer	Step family with no other children present	189
Kurrajong Heights - Ebenezer	Step family with other children present	3
Pitt Town - McGraths Hill	Blended family with no other children present	76
Pitt Town - McGraths Hill	Intact family with no other children present	1396
Pitt Town - McGraths Hill	Intact family with other children present	22
Pitt Town - McGraths Hill	Other couple family with other children only	10
Pitt Town - McGraths Hill	Step family with no other children present	87
Rouse Hill - Beaumont Hills	Blended family with no other children present	141
Rouse Hill - Beaumont Hills	Blended family with other children present	7
Rouse Hill - Beaumont Hills	Intact family with no other children present	3716
Rouse Hill - Beaumont Hills	Intact family with other children present	46
Rouse Hill - Beaumont Hills	Other couple family with other children only	5
Rouse Hill - Beaumont Hills	Step family with no other children present	191
Rouse Hill - Beaumont Hills	Step family with other children present	3
Blacktown (East) - Kings Park	Blended family with no other children present	68
Blacktown (East) - Kings Park	Intact family with no other children present	2052
Blacktown (East) - Kings Park	Intact family with other children present	27
Blacktown (East) - Kings Park	Other couple family with other children only	6
Blacktown (East) - Kings Park	Step family with no other children present	103
Blacktown (North) - Marayong	Blended family with no other children present	96
Blacktown (North) - Marayong	Intact family with no other children present	2115
Blacktown (North) - Marayong	Intact family with other children present	54
Blacktown (North) - Marayong	Other couple family with other children only	11
